channel_name,total_posts,views,num_days_posted,first_day_posted,avg_posts_per_day,avg_views_per_day,views_per_post
nyein9699,638,19786373,26,2023-03-12,24.53846153846154,761014.3461538461,31013.12382445141
babanyunt,3569,26845885,42,2023-02-24,84.97619047619048,639187.7380952381,7521.962734659569
kothetjournalist,36079,327586256,552,2021-10-02,65.36050724637681,593453.3623188406,9079.693339615844
positiveanglenews,3088,33784088,79,2023-01-18,39.08860759493671,427646.6835443038,10940.443005181347
bagothar969,7866,31205027,165,2022-10-24,47.67272727272727,189121.37575757576,3967.076913297737
myanmarupdate,18740,114491774,734,2021-03-31,25.53133514986376,155983.3433242507,6109.486339381003
kokhant198,5871,7443173,52,2021-06-28,112.90384615384616,143137.9423076923,1267.7862374382557
naymin969,12825,51765296,444,2022-01-11,28.885135135135137,116588.50450450451,4036.280389863548
konyeinmg969,344,1299910,14,2023-03-09,24.571428571428573,92850.71428571429,3778.8081395348836
MyanmarNationalPost,86884,49115544,682,2021-02-04,127.39589442815249,72016.926686217,565.3002163804613
ckkmdy969,9271,20285676,450,2021-06-28,20.602222222222224,45079.28,2188.0785244310214
Datha7980,14710,15250691,354,2022-03-24,41.55367231638418,43081.04802259887,1036.756696125085
Alinthuta21784,4064,6686306,158,2022-02-02,25.72151898734177,42318.39240506329,1645.2524606299212
Mwdmmnews,11478,29665559,709,2021-03-31,16.188998589562765,41841.409026798305,2584.5581982923854
manawmyay007,5887,7206011,191,2022-08-01,30.82198952879581,37727.806282722515,1224.0548666553423
shwenaykyar,31248,14669381,416,2022-02-09,75.11538461538461,35262.935096153844,469.4502368151562
factcheckmm,3654,10969087,318,2022-01-17,11.49056603773585,34493.98427672956,3001.9395183360703
welovemyanmar1,8105,6177967,227,2022-02-02,35.70484581497797,27215.713656387667,762.2414558914251
naysinthadin,15696,5963453,258,2022-07-22,60.83720930232558,23114.158914728683,379.93456931702343
pyaynews,52295,6546598,339,2022-03-03,154.26253687315634,19311.498525073745,125.1859259967492
youth_talk,38,644908,36,2022-01-24,1.0555555555555556,17914.11111111111,16971.263157894737
myanmatoday,6721,2732650,176,2022-08-21,38.1875,15526.420454545454,406.5838416902247
nyanm0123,16427,2340805,239,2022-07-23,68.73221757322176,9794.163179916319,142.49741279600659
yannaingdsgh1000,1441,377364,53,2023-02-13,27.18867924528302,7120.075471698113,261.8764746703678
mercurymedia,16416,2745653,432,2021-11-19,38.0,6355.678240740741,167.25469054580896
seainbaydar,4880,734613,152,2021-09-13,32.10526315789474,4832.980263157895,150.53545081967212
peopleimagenewsagency,2737,1551057,358,2021-09-11,7.645251396648045,4332.561452513966,566.6996711728169
peoplemediamyanmar,68,181396,50,2023-01-24,1.36,3627.92,2667.5882352941176
htutkhaunglin,3942,490774,307,2021-06-22,12.840390879478827,1598.6123778501628,124.49873160832065
