channel_name,channel_id,is_forward,percentage_forwards
Datha7980,14710,9351,63.56900067980965
shwenaykyar,31248,19015,60.85189452124936
kothetjournalist,36079,21418,59.36417306466365
myanmatoday,6721,3840,57.134355006695436
yannaingdsgh1000,1441,675,46.84247050659264
naymin969,12825,5614,43.773879142300196
bagothar969,7866,2332,29.6465802186626
konyeinmg969,344,100,29.069767441860467
nyanm0123,16427,4258,25.92074024471906
nyein9699,638,96,15.047021943573668
naysinthadin,15696,1884,12.003058103975535
pyaynews,52295,6174,11.806100009561144
babanyunt,3569,273,7.649201456990753
myanmarupdate,18740,1322,7.054429028815368
manawmyay007,5887,309,5.2488534058094105
Mwdmmnews,11478,372,3.2409827496079457
positiveanglenews,3088,92,2.9792746113989637
MyanmarNationalPost,86884,2149,2.4734128262971318
Alinthuta21784,4064,90,2.2145669291338583
ckkmdy969,9271,67,0.7226836371480961
htutkhaunglin,3942,20,0.5073566717402334
kokhant198,5871,18,0.3065917220235054
welovemyanmar1,8105,2,0.024676125848241828
mercurymedia,16416,0,0.0
peopleimagenewsagency,2737,0,0.0
peoplemediamyanmar,68,0,0.0
seainbaydar,4880,0,0.0
factcheckmm,3654,0,0.0
youth_talk,38,0,0.0
