,channel_name,participants_count
0,myanmarupdate,39587
1,myanmatoday,2279
2,nyein9699,41856
3,Mwdmmnews,17829
4,welovemyanmar1,2898
5,seainbaydar,529
6,shwenaykyar,3823
7,naysinthadin,2669
8,kothetjournalist,57603
9,youth_talk,5952
10,Datha7980,6112
11,babanyunt,19598
12,factcheckmm,16559
13,naymin969,11358
14,manawmyay007,4253
15,bagothar969,21333
16,ckkmdy969,6833
17,mercurymedia,1905
18,konyeinmg969,4615
19,kokhant198,14657
20,nyanm0123,1609
21,peopleimagenewsagency,2260
22,yannaingdsgh1000,724
23,MyanmarNationalPost,12445
24,Alinthuta21784,3565
25,positiveanglenews,30583
26,pyaynews,1911
27,peoplemediamyanmar,4236
28,htutkhaunglin,429
